depth	true_age	age	sigma_age	inc	sigma_inc
295.0	240.38451938533694			57.50327555114783	2.79
300.0	217.6927124630397			55.32764754501392	2.3
305.0	212.57260001381292			53.79148051714094	2.3
310.0	207.45248756458614			54.6700134875917	2.42
315.0	202.33237511535935			56.04493308416829	2.91
320.0	197.21226266613257			54.79292862090209	2.85
325.0	177.62378743708723			55.80491389489907	2.85
330.0	158.0353122080419			55.33103898799055	3.42
335.0	138.44683697899654			52.80067974542529	2.3
340.0	118.8583617499512			50.441707744366646	2.61
345.0	95.16099422581658			56.356151535284106	3.55
350.0	71.46362670168196			53.340986492443314	2.73
355.0	47.76625917754734			56.039311953526585	2.91
360.0	24.06889165341272			48.435589114578505	3.42
365.0	-123.85950921770052			50.861118369516795	3.23
370.0	-271.78791008881376			60.92382483678327	3.48
375.0	-419.716310959927			48.05103056939231	3.88
380.0	-567.6447118310402			62.75212425118015	3.36
385.0	-647.8668662627412			53.71674463859229	2.61
390.0	-728.0890206944421			51.71346605407278	2.37
395.0	-808.311175126143			50.042823856405754	2.3
400.0	-888.5333295578439			49.56144834082742	2.37
405.0	-966.5483179793628			52.51580809994085	2.3
410.0	-1044.5633064008816			56.03658778040831	2.3
415.0	-1122.5782948224005			57.46171385330158	2.3
420.0	-1200.5932832439194			61.197867413362864	2.3
425.0	-1265.4894736628412			59.979550416839785	2.3
430.0	-1330.3856640817628			58.7319425112865	2.3
435.0	-1395.2818545006844			59.1419209304174	2.3
440.0	-1460.1780449196062			61.86460405528741	2.3
445.0	-1488.4991755230794			60.645079997896	2.3
450.0	-1516.8203061265529			62.27463714064593	2.3
455.0	-1545.1414367300263			59.61158401237004	2.3
460.0	-1573.4625673334995			60.205956427000274	2.3
465.0	-1656.4236821948773			58.07187730721624	2.3
470.0	-1739.3847970562551			57.06039747936145	2.3
475.0	-1822.345911917633			62.8479494049883	2.3
480.0	-1905.3070267790108			57.225120300210726	2.3
485.0	-1914.9166576184607			62.33632348516156	2.3
490.0	-1924.5262884579106			61.792623402204825	2.3
495.0	-1934.1359192973605			58.77658670084162	2.3
500.0	-1943.7455501368104			68.4269905836363	2.3
505.0	-1959.9376632314509			60.96073950699432	2.3
510.0	-1976.1297763260914			61.60621955372918	2.3
515.0	-1992.3218894207318			60.854777429552726	2.3
520.0	-2008.5140025153723			61.14442414050535	2.3
525.0	-2110.6096852924056			59.340217794991204	2.49
530.0	-2212.7053680694385			61.94649104973486	2.3
535.0	-2314.8010508464713			61.29045213800998	2.55
540.0	-2416.8967336235046			60.12604028447753	2.3
545.0	-2511.9093734811595			58.20137934116815	2.3
550.0	-2606.9220133388144			52.913425527985076	2.3
555.0	-2701.9346531964693			52.70516505606851	2.31
560.0	-2796.947293054124			50.715611873970126	2.73
565.0	-2828.847761952707			53.665491855189806	2.3
570.0	-2860.74823085129			54.6594732252826	2.3
575.0	-2892.648699749873			49.12861158083331	2.3
580.0	-2924.5491686484556			53.38353936561446	2.91
585.0	-2955.7377966734775			49.11084116210852	2.55
590.0	-2986.9264246985			55.27882256617773	2.3
595.0	-3018.1150527235222			54.94369460748503	2.67
600.0	-3049.303680748544			56.8636273446249	3.09
605.0	-3151.5548603328343			46.96373095669023	3.09
610.0	-3253.8060399171245			51.455611680278146	3.42
615.0	-3356.0572195014147			52.12392585010423	2.91
620.0	-3458.308399085705			53.963415038056155	2.61
625.0	-3465.8557929699177			55.70931238565452	2.85
630.0	-3473.4031868541306			56.06193483917514	2.42
635.0	-3480.9505807383434			57.6258762474178	2.3
640.0	-3488.4979746225563			60.85678825400926	2.31
645.0	-3577.1938826279165			60.03884359994896	2.97
650.0	-3665.8897906332763			61.444562531813865	2.73
655.0	-3754.585698638636			62.973665486363544	2.3
660.0	-3843.2816066439964			60.110198526287405	2.3
665.0	-3873.6598966654046			63.14020275025664	2.55
670.0	-3904.038186686813			62.025482482450464	3.29
675.0	-3934.416476708221			58.63490081570955	3.29
680.0	-3964.7947667296294			68.86820371496913	2.61
685.0	-3984.579500235006			64.36843509362241	3.17
690.0	-4004.364233740383			64.70987013010445	3.74
695.0	-4024.14896724576			65.7946510236044	3.23
700.0	-4043.9337007511367			61.80341482577267	2.3
705.0	-4105.945451634413			63.94008800152089	2.61
710.0	-4167.957202517689			57.828408866363326	3.36
715.0	-4229.968953400966			58.27131627042002	3.68
720.0	-4291.980704284242			64.5037670581261	2.97
725.0	-4376.940679348625			62.2312807398939	2.42
730.0	-4461.900654413008			56.40678580260684	2.61
735.0	-4546.86062947739			61.34625700149973	2.91
740.0	-4631.820604541773			58.86799873822863	2.67
745.0	-4654.331576860978			63.84232978168326	2.3
750.0	-4676.8425491801845			60.61811615122883	2.3
755.0	-4699.35352149939			61.05077326926905	2.3
760.0	-4721.864493818595			58.91610889083257	2.3
765.0	-4743.627413193241			56.60270187520763	2.3
770.0	-4765.3903325678875			56.63654312903158	2.3
775.0	-4787.153251942534			65.05177728270439	2.3
780.0	-4808.91617131718			60.635508535740314	2.3
785.0	-4819.164167149239			60.65607613140768	2.3
790.0	-4829.412162981298			63.490111722890965	2.3
795.0	-4839.660158813357			61.87786477348446	2.3
800.0	-4849.908154645416			56.69995365216011	2.3
805.0	-4875.3343759486515			60.07188386302682	2.3
810.0	-4900.760597251887			56.168983940768115	2.3
815.0	-4926.186818555123			59.47085655267169	2.3
820.0	-4951.613039858358			58.349520149468106	2.3
825.0	-4981.65172888265			60.34796441699787	2.55
830.0	-5011.6904179069425			57.148026287824905	2.37
835.0	-5041.729106931234			57.73791357176255	2.61
840.0	-5071.767795955526			60.243799724310854	2.49
845.0	-5171.121806557889			56.095001952878455	3.03
850.0	-5270.475817160252			59.16938624926779	3.36
855.0	-5369.8298277626145			57.690065583908	3.09
860.0	-5469.183838364977			54.289438816817984	3.55
865.0	-5513.486130702337			53.169662299174554	3.55
870.0	-5557.788423039696			55.24927743740034	3.55
875.0	-5602.090715377055			57.395485552590024	3.55
880.0	-5646.393007714414			46.27407818137434	3.55
885.0	-5713.325284132757			54.23867552523161	2.3
890.0	-5780.257560551099			51.56776036691637	2.3
895.0	-5847.189836969442			54.78805935004226	2.3
900.0	-5914.122113387784			52.69901853235403	2.3
905.0	-5925.8215794455355			52.65214993150518	2.3
910.0	-5937.521045503287			51.6717570646544	2.3
915.0	-5949.220511561037			52.243517871166524	2.3
920.0	-5960.919977618788			53.54206662373138	2.31
925.0	-6006.48172260331			53.19191918109918	2.3
930.0	-6052.043467587831			47.97326195465503	2.3
935.0	-6097.605212572353			46.41966146291264	2.3
940.0	-6143.166957556875			47.206754634618534	2.3
945.0	-6165.727598091034			50.605233555247544	2.3
950.0	-6188.288238625195			45.00967209761992	2.55
955.0	-6210.8488791593545			50.14971569744759	2.61
960.0	-6233.409519693514			43.574124176915205	3.09
965.0	-6294.84687297803			48.93976425006482	2.61
970.0	-6356.284226262545			48.718428471632315	3.23
975.0	-6417.721579547061			54.35059039849412	3.03
980.0	-6479.158932831577			59.25451637382579	2.73
